Nro.	Modular	Estante	Cod	Modulo_Estanteria	Fila	Materia	Titulo	Autor	Idioma	Tipo	Pais de Origen	Editorial	Fecha_edicion	Edicion	Nro_ejemplares	Estado Fisico	Observaciones
790	2M-4E	Fila 4	MeT 46	E	E9	Metalurgía	Metalurgía del Oro y la Plata (copia)	VARGAS GALLARDO, J.	Español	Libro	La Paz- Bolivia	S/E	1981	Primera	1	Bueno	
791	2M-4E	Fila 4	MeT 47	E	E9	Metalurgía	Apuntes: Hidrometalurgia del Oro y la Plata (copia)	ARENAS, A.F.	Español	Libro	Antofagasta-Chile	S/E	1983	Primera	1	Bueno	
792	2M-4E	Fila 4	MeT 48	E	E9	Metalurgía	Gold Metallurgy in South Africa (copia)	ADAMSON, R.J.	Ingles	Libro	N/A	S/E	s/f	Primera	1	Bueno	
793	2M-4E	Fila 4	MeT 49	E	E9	Metalurgía	Gold-Mining, Metallurgy and Geology (copia)	RICHARDS, R. y Otros	Ingles	Libro	Australia	The Australian Institute of Mining and Metallurgy	1985	Primera	1	Bueno	
794	2M-4E	Fila 4	MeT 50	E	E9	Metalurgía	Gold Refining (copia)	GAJDA, G. J.	Ingles	Libro	California-EEUU	S/E	1982	segunda	1	Bueno	
795	2M-4E	Fila 4	MeT 51	E	E9	Metalurgía	La Chaux: Sa Production et son Utilisation dans l'habitat             	Grupo de Investigación y de Intercambios Tecnológicos	Frances	Libro	Francia	S/E	1981	Primera	1	Bueno	
796	2M-4E	Fila 4	MeT 52	E	E9	Metalurgía	Exploitation a Cout Modique de Petites Installations de Houille Blanche	HAMM, H. W.	Frances	Libro	Virginia-EEUU	VITA	1977	Primera	1	Bueno	
797	2M-4E	Fila 4	MeT 53	E	E9	Metalurgía	Etude D'exploitation des Fours a Chaux a Ruhengeri, Rwanda (copia)	RUHENGERI, R.	Frances	Libro	Ruanda-Africa	S/E	s/f	Primera	1	Malo	
798	2M-4E	Fila 4	MeT 54	E	E9	Metalurgía	Notions de Metallurgie (copia)	-	Ingles	Apuntes	N/A	S/E	s/f	Primera	1	Malo	APUNTES
799	2M-4E	Fila 5	MeT 55	E	E9	Metalurgía	Traitement des eaux industrielles	HERNIA, J.	Frances	Libro	Francia	Derouaux	1975	segunda	1	Bueno	
800	2M-4E	Fila 5	MeT 56	E	E9	Metalurgía	Curriculum del area de metalurgía extractiva	EscuelaPolitecnica Nacional	Español	Libro	Quito-Ecuador	Escuela Politécnica Nacional	1995	Primera	1	Malo	
801	2M-4E	Fila 5	MeT 57	E	E9	Metalurgía	Metalurgía del oro	Ministerio de Energía y Minas	Ingles	Libro	Quito-Ecuador	S/E	1996	Primera	1	Bueno	
802	2M-4E	Fila 5	MeT 58	E	E9	Metalurgía	Transactions/ section B. Applied earth science	Institution of Mining and Metallurgy	Ingles	Libro	Londres-Reino Unido	The Institution of Mining and Metallurgy	1972	Primera	1	Bueno	
803	2M-4E	Fila 5	MeT 59	E	E9	Metalurgía	Scripta metallurgica	Instituto Ecuatoriano de Minería	Ingles	Libro	EEUU	PERGAMON PRESS	1985	Primera	1	Bueno	
804	2M-4E	Fila 5	MeT 60	E	E9	Metalurgía	Ejemplo de informe de flotación	DWANTERS	Frances	Libro	N/A	S/E	1967	Primera	1	Bueno	INFORME/ NO VISIBLE LAS COPIAS/ NO VISIBLE EL AUTOR
805	2M-4E	Fila 5	MeT 61	E	E9	Metalurgía	Curso de beneficio de minerales (Cursode minería-Dirección general de geología y minas)	ANDRADE, M. 	Frances	Libro	N/A	S/E	1999	Primera	1	Malo	CURSO
806	2M-4E	Fila 5	MeT 62	E	E9	Metalurgía	Métallurgie de l'or	ROQUES, E.	Ingles	Paper	N/A	S/E	1956	Primera	1	Bueno	
807	2M-4E	Fila 5	MeT 63	E	E9	Metalurgía	An analysis of base-metal smelter terms	DUBON, Y.	Ingles	Paper	Londres-Reino Unido	S/E	1973	Primera	1	Bueno	
808	2M-4E	Fila 5	MeT 64	E	E9	Metalurgía	Procedes hydrometallurgiques en traitement des minerals	-	Frances	Libro	Francia	S/E	1920	Primera	1	Bueno	
809	2M-5E	Fila 1	Min 01	E	E9	Minería	Minería Latinoamericana	ATKINSON, W.J. y Otros	Ingles	Libro	Inglatera	IMM	1986	Primera	1	Bueno	
810	2M-5E	Fila 1	Min 02	E	E9	Minería	Experiencia y Tecnologías Modernas en Excavaciones Subterráneas	MAS, F. J., SALINAS, C.	Ingles	Libro	N/A	S/E	1996	Primera	1	Bueno	
811	2M-5E	Fila 1	Min 03	E	E9	Minería	The Profitable Small Mine Prospecting to Operation	STOUT,  K. S.	Ingles	Libro	EEUU	McGraw-Hill	1984	Primera	1	Bueno	
812	2M-5E	Fila 1	Min 04	E	E9	Minería	Proyecto-Tipo General de Transporte	Instituto Tecnológico Geo-Minero de España	Español	Libro	España	RUGOMA, S.A	1992	Primera	1	Bueno	
813	2M-5E	Fila 1	Min 05	E	E9	Minería	La Minería en España	DE HEREDIA, R. y Otros	Español	Libro	España	IBERGESA	1982	Primera	1	Bueno	
814	2M-5E	Fila 1	Min 06	E	E9	Minería	Libro Blanco de la Minería de la Comunidad de Madrid	SANCHEZ RODRIGUEZ, A.	Español	Libro	España	CARTOGRAFIA MADRID. S.A	1995	Primera	1	Bueno	
815	2M-5E	Fila 1	Min 07	E	E9	Minería	Jornadas sobre Tecnología del Agua en la Minería	Instituto Tecnológico Geo-Minero de España	Español	Libro	España	REPROMARKET	1992	Primera	1	Bueno	
816	2M-5E	Fila 1	Min 08	E	E9	Minería	Los métodos por Hundimientos 	BEHN, B., GÖPFERT, H.	Español	Libro	Chile	EDITORIAL UNIVERSITARIA DE SAN FRANCISCO	1973	Primera	2	Bueno	
817	2M-5E	Fila 1	Min 09	E	E9	Minería	Principles of Mining	HOOVER, H. C.	Ingles	Libro	Inglatera	McGraw-Hill	1909	Primera	2	Bueno	
818	2M-5E	Fila 1	Min 10	E	E9	Minería	Tratado de Laboreo de Minas Tomo Primero	FRITZSCHE, C. H.	Español	Libro	Mexico	LABOR, S.A 	1965	segunda	1	Bueno	
819	2M-5E	Fila 1	Min 11	E	E9	Minería	Tratado de Laboreo de Minas Tomo Segundo	FRITZSCHE, C. H.	Español	Libro	Mexico	LABOR, S.A 	1965	Segunda 	1	Bueno	
820	2M-5E	Fila 1	Min 12	E	E9	Minería	Explotación de Minas, Transportes, Ventilación y Servicios Generales del Fondo. Vol. II	VIDAL, V.	Español	Libro	España	Ediciones Omega	1966	Segunda 	1	Bueno	
821	2M-5E	Fila 1	Min 13	E	E9	Minería	Explotación de Minas, Métodos, Energía y Servicios del Exterior Vol. III	VIDAL, V.	Español	Libro	España	Ediciones Omega	1966	Segunda	1	Bueno	
